image_path pid camid material
.\MVB_train\Image\0000_g_1.jpg 0000 g_1 soft
.\MVB_train\Image\0000_g_2.jpg 0000 g_2 soft
.\MVB_train\Image\0000_g_3.jpg 0000 g_3 soft
.\MVB_train\Image\0000_p_4.jpg 0000 p_4 soft
.\MVB_train\Image\0001_g_1.jpg 0001 g_1 hard
.\MVB_train\Image\0001_g_2.jpg 0001 g_2 hard
.\MVB_train\Image\0001_g_3.jpg 0001 g_3 hard
.\MVB_train\Image\0001_p_4.jpg 0001 p_4 hard
.\MVB_train\Image\0002_g_1.jpg 0002 g_1 soft
.\MVB_train\Image\0002_g_2.jpg 0002 g_2 soft
.\MVB_train\Image\0002_g_3.jpg 0002 g_3 soft
.\MVB_train\Image\0002_p_3.jpg 0002 p_3 soft
.\MVB_train\Image\0002_p_4.jpg 0002 p_4 soft
.\MVB_train\Image\0003_g_1.jpg 0003 g_1 soft
.\MVB_train\Image\0003_g_2.jpg 0003 g_2 soft
.\MVB_train\Image\0003_g_3.jpg 0003 g_3 soft
.\MVB_train\Image\0003_p_3.jpg 0003 p_3 soft
.\MVB_train\Image\0003_p_4.jpg 0003 p_4 soft
.\MVB_train\Image\0004_g_1.jpg 0004 g_1 hard
.\MVB_train\Image\0004_g_2.jpg 0004 g_2 hard
.\MVB_train\Image\0004_g_3.jpg 0004 g_3 hard
.\MVB_train\Image\0004_p_1.jpg 0004 p_1 hard
.\MVB_train\Image\0004_p_2.jpg 0004 p_2 hard
.\MVB_train\Image\0005_g_1.jpg 0005 g_1 soft
.\MVB_train\Image\0005_g_2.jpg 0005 g_2 soft
.\MVB_train\Image\0005_g_3.jpg 0005 g_3 soft
.\MVB_train\Image\0005_p_1.jpg 0005 p_1 soft
.\MVB_train\Image\0006_g_1.jpg 0006 g_1 hard
.\MVB_train\Image\0006_g_2.jpg 0006 g_2 hard
.\MVB_train\Image\0006_g_3.jpg 0006 g_3 hard
.\MVB_train\Image\0006_p_1.jpg 0006 p_1 hard
.\MVB_train\Image\0006_p_2.jpg 0006 p_2 hard
.\MVB_train\Image\0007_g_1.jpg 0007 g_1 hard
.\MVB_train\Image\0007_g_2.jpg 0007 g_2 hard
.\MVB_train\Image\0007_g_3.jpg 0007 g_3 hard
.\MVB_train\Image\0007_p_4.jpg 0007 p_4 hard
.\MVB_train\Image\0008_g_1.jpg 0008 g_1 soft
.\MVB_train\Image\0008_g_2.jpg 0008 g_2 soft
.\MVB_train\Image\0008_g_3.jpg 0008 g_3 soft
.\MVB_train\Image\0008_p_3.jpg 0008 p_3 soft
.\MVB_train\Image\0008_p_4.jpg 0008 p_4 soft
.\MVB_train\Image\0009_g_1.jpg 0009 g_1 hard
.\MVB_train\Image\0009_g_2.jpg 0009 g_2 hard
.\MVB_train\Image\0009_g_3.jpg 0009 g_3 hard
.\MVB_train\Image\0009_p_1.jpg 0009 p_1 hard
.\MVB_train\Image\0009_p_2.jpg 0009 p_2 hard
.\MVB_train\Image\0009_p_3.jpg 0009 p_3 hard
